corporate_name_S1,address,activity_places,top_suppliers
BlueWave Solutions 0,512 Main St,"Houston, San Francisco, Dallas","Steel Co, Shipping Lines"
TechCorp 1,216 Main St,"Oakland, Seattle, Houston","Cloud Provider, Steel Co"
Global Manufacturing 2,780 Main St,"Houston, Seattle, San Francisco","Solar Panels Ltd, Grid Systems"
Quantum Services 3,489 Innovation Dr,"Atlanta, Dallas, Chicago","Supplier A, Supplier B"
Quantum Services 4,165 Innovation Dr,"Chicago, Atlanta, Seattle","Port Services, Supplier A, Grid Systems"
Nova Industries 5,939 Industrial Rd,"Atlanta, Chicago, Austin","Battery Tech, Parts Inc"
DataFlow Analytics 6,377 Industrial Rd,"Chicago, Oakland, New York","Supplier B, Parts Inc"
BlueWave Solutions 7,424 Innovation Dr,"Oakland, Dallas, Atlanta","Parts Inc, Cloud Provider"
Green Energy 8,229 Industrial Rd,"Atlanta, San Francisco, Oakland","Parts Inc, Supplier C, Supplier B"
Global Manufacturing 9,532 Innovation Dr,"Dallas, San Francisco, Detroit","Fuel Supplier, Hardware Vendor, Solar Panels Ltd, Supplier B"
Pioneer Holdings 10,818 Innovation Dr,"San Diego, Seattle, Detroit","Port Services, Battery Tech, Fuel Supplier"
Maritime Logistics 11,250 Main St,"Atlanta, Boston, Houston","Battery Tech, Parts Inc, Solar Panels Ltd"
DataFlow Analytics 12,879 Industrial Rd,"Austin, Dallas, Boston","Hardware Vendor, Solar Panels Ltd, Supplier A"
Apex Systems 13,134 Innovation Dr,"Oakland, Atlanta, Chicago","Supplier B, Port Services"
DataFlow Analytics 14,587 Main St,"Denver, Detroit, Oakland","Parts Inc, Shipping Lines, Battery Tech, Steel Co"
Pioneer Holdings 15,207 Main St,"Houston, Long Beach, San Diego","Supplier A, Shipping Lines, Grid Systems, Cloud Provider"
Apex Systems 16,690 Innovation Dr,"Houston, New York, Dallas","Supplier B, Cloud Provider"
Nova Industries 17,332 Main St,"Chicago, Austin, New York","Solar Panels Ltd, Shipping Lines, Parts Inc, Port Services"
BlueWave Solutions 18,413 Harbor Way,"Detroit, Denver, Chicago","Steel Co, Solar Panels Ltd, Shipping Lines, Hardware Vendor"
BlueWave Solutions 19,354 Harbor Way,"Boston, San Diego, Houston","Supplier B, Shipping Lines"
Apex Systems 20,614 Innovation Dr,"Seattle, Atlanta, Phoenix","Supplier B, Shipping Lines"
Vertex Group 21,595 Innovation Dr,"San Francisco, Chicago, Denver","Steel Co, Grid Systems, Supplier A, Supplier B"
Vertex Group 22,218 Innovation Dr,"San Diego, Dallas, Long Beach","Port Services, Grid Systems, Parts Inc, Supplier A"
Vertex Group 23,735 Innovation Dr,"Seattle, San Diego, San Francisco","Port Services, Shipping Lines, Solar Panels Ltd"
TechCorp 24,713 Innovation Dr,"Houston, San Diego, Seattle","Supplier B, Cloud Provider, Parts Inc, Grid Systems"
Vertex Group 25,256 Harbor Way,"Dallas, Long Beach, San Francisco","Steel Co, Port Services, Hardware Vendor"
Quantum Services 26,750 Industrial Rd,"Chicago, Austin, Dallas","Supplier B, Fuel Supplier, Hardware Vendor, Solar Panels Ltd"
Retail Chain 27,136 Harbor Way,"Seattle, New York, Houston","Shipping Lines, Hardware Vendor, Supplier A, Cloud Provider"
Nova Industries 28,853 Main St,"Dallas, Long Beach, Boston","Supplier B, Fuel Supplier"
Green Energy 29,783 Main St,"Houston, San Diego, Phoenix","Supplier C, Cloud Provider, Fuel Supplier, Shipping Lines"
DataFlow Analytics 30,347 Main St,"Seattle, Phoenix, Dallas","Grid Systems, Supplier C, Solar Panels Ltd"
TechCorp 31,944 Industrial Rd,"Long Beach, Atlanta, Phoenix","Supplier B, Battery Tech, Supplier C"
Vertex Group 32,571 Main St,"Chicago, Austin, Detroit","Fuel Supplier, Supplier C, Grid Systems"
Pioneer Holdings 33,825 Harbor Way,"Detroit, Seattle, Denver","Shipping Lines, Grid Systems, Steel Co"
Vertex Group 34,601 Innovation Dr,"Seattle, Boston, Austin","Parts Inc, Port Services, Supplier C, Supplier A"
Quantum Services 35,358 Industrial Rd,"San Francisco, Houston, San Diego","Grid Systems, Parts Inc"
Global Manufacturing 36,478 Harbor Way,"Austin, San Diego, New York","Parts Inc, Supplier C, Solar Panels Ltd, Supplier A"
Pioneer Holdings 37,437 Industrial Rd,"Oakland, Atlanta, Boston","Steel Co, Shipping Lines, Supplier A"
